,f1,recall,precision,n
0-50,0.859375,0.9016393442622951,0.8208955223880597,121.0
50-80,0.9230769230769231,0.96,0.8888888888888888,71.0
80-120,0.9152542372881356,0.9310344827586207,0.9,156.0
120-180,0.9102167182662538,0.8963414634146342,0.9245283018867925,330.0
180+,0.0,0.0,0.0,0.0
