长度区间,Baseline,Opt1 (阈值调优),Opt2 (特征增强),Opt3 (长度感知)
0-50,0.594059405940594,0.7377049180327869,0.6896551724137931,0.8307692307692308
50-80,0.5365853658536586,0.5365853658536586,0.7346938775510204,0.8
80-120,0.6382978723404256,0.6382978723404256,0.6451612903225806,0.8
120-180,0.8282828282828283,0.8282828282828283,0.8361204013377926,0.8823529411764706
